買賣租管;ㄇㄞㄇㄞㄗㄨㄍㄨㄢ;maimaizuguan
大昌汽車集團;ㄉㄚㄔㄤㄑ一ㄔㄜㄐ一ㄊㄨㄢ,ㄉㄚㄔㄤㄑ一ㄐㄩㄐ一ㄊㄨㄢ,ㄉㄞㄔㄤㄑ一ㄔㄜㄐ一ㄊㄨㄢ,ㄉㄞㄔㄤㄑ一ㄐㄩㄐ一ㄊㄨㄢ;daichangqijujituan,daichangqichejituan,dachangqijujituan,dachangqichejituan
九華貸款;ㄐ一ㄡㄏㄨㄚㄉㄞㄎㄨㄢ;jiuhuadaikuan
腦神經科;ㄋㄠㄕㄣㄐ一ㄥㄎㄜ;naoshenjingke
東方地板;ㄉㄨㄥㄈㄤㄉ一ㄅㄢ,ㄉㄨㄥㄈㄤㄉㄜㄅㄢ;dongfangdeban,dongfangdiban
泰盛玉平台‧寬頻電視;ㄊㄞㄕㄥㄩㄆ一ㄥㄊㄞ‧ㄎㄨㄢㄆ一ㄣㄉ一ㄢㄕ,ㄊㄞㄕㄥㄩㄆ一ㄥㄊㄞ‧ㄎㄨㄢㄅ一ㄣㄉ一ㄢㄕ,ㄊㄞㄔㄥㄩㄆ一ㄥㄊㄞ‧ㄎㄨㄢㄆ一ㄣㄉ一ㄢㄕ,ㄊㄞㄔㄥㄩㄆ一ㄥㄊㄞ‧ㄎㄨㄢㄅ一ㄣㄉ一ㄢㄕ;taishengyupingtai‧kuanbindianshi,taishengyupingtai‧kuanpindianshi,taichengyupingtai‧kuanbindianshi,taichengyupingtai‧kuanpindianshi
李鍾傑醫學博士─疼痛復健醫學專科;ㄌ一ㄓㄨㄥㄐ一ㄝ一ㄒㄩㄝㄅㄛㄕ─ㄊㄥㄊㄨㄥㄈㄨㄐ一ㄢ一ㄒㄩㄝㄓㄨㄢㄎㄜ;lizhongjieyixueboshi─tengtongfujianyixuezhuanke
石碑雕刻;ㄉㄢㄅㄟㄉ一ㄠㄎㄜ,ㄕㄅㄟㄉ一ㄠㄎㄜ;shibeidiaoke,danbeidiaoke
庫存;ㄎㄨㄘㄨㄣ;kucun
巴士都錦鯉養殖場;ㄅㄚㄕㄉㄡㄐ一ㄣㄌ一一ㄤㄓㄔㄤ,ㄅㄚㄕㄉㄨㄐ一ㄣㄌ一一ㄤㄓㄔㄤ;bashidujinliyangzhichang,bashidoujinliyangzhichang
不良於行;ㄅㄨㄌ一ㄤㄩㄒ一ㄥ,ㄅㄨㄌ一ㄤㄩㄏㄤ;buliangyuxing,buliangyuhang
減債;ㄐ一ㄢㄓㄞ;jianzhai
大西洋乾洗店;ㄉㄚㄒ一一ㄤㄍㄢㄒ一ㄉ一ㄢ,ㄉㄚㄒ一一ㄤㄑ一ㄢㄒ一ㄉ一ㄢ,ㄉㄞㄒ一一ㄤㄍㄢㄒ一ㄉ一ㄢ,ㄉㄞㄒ一一ㄤㄑ一ㄢㄒ一ㄉ一ㄢ;daixiyangganxidian,daixiyangqianxidian,daxiyangganxidian,daxiyangqianxidian
